"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value",,,,"Retention
cost",retention_cost,,,Remarks,,,
64,"a.  One   Rolex   wrist watch
b.  One Taif Rose","Ameer        Khurram        Rathore, Ambassador     of     Pakistan     to Kingdom of Saudi Arabia",12/05/2022,"a.  Rs.4,950,00
0/-
b.  Rs.22,000/-",4972000,0.496983105,,"Rs.2,471,00
0/-",2471000.00,,,"Amount
deposited, gift retained",,,
46,"a)  One  w/watch Rolex       No. E67574v3,
b)  Pair            of Cufflinks,
c)  One ring
d)  Unstitched cloth","Prime   Minister,   Mr. Imran Khan",24/09/2020,"a)  Rs.4,408,00
0/
b)  Rs.255,000/
-
c)  Rs.230,000/
d)  Rs.7,000/-",4900000,0.496938776,,"Rs.2,435,000/-",2435000.00,-,,"Amount
deposited, gift retained",,,
88,"a)  One          W/Watch (Bvlgari).
b)  Pair of Cufflinks.
c)  One Ring.
d)  One Ball Pen.
e)  One Tasbih.","Khawaja       Muhammad Asif, Foreign Minister",17/10/2017,"a)  Rs.4,000,000/-
b)  Rs.1,200,000/-
c)  Rs.1,236,160/-
d)  Rs.3,817,353/-
e)  Rs.1,565,275/-","11,808,788",0.199661303,,"Rs.2,357,758/-",2357758.00,-,,"Amount
deposited, gift retained",,,
135,"One  Jewellary  Set  in 18Kt Gold  & diamond i.e.
a.   One Necklace
b.  One Bracelet
c.  Pair of Ear Rings
d.  One Ring","First Lady of Pakistan, wife of       President       Pervaiz Musharraf",03/04/2007,"a.  Rs.10,153,800/-
b.  Rs.2,470,500/-
c.  Rs.1,773,900/-
d.  Rs.484,200/-",14882400,0.14989921,,"Rs. 2,230,860/-",2230860.00,-,,"Amount
deposited, gift retained",,,
78,"a)  One      W/Watch (GIRARD- PERREGAUX) (GEP000047- 99815).
b)  Pair of Cufflinks.",Dr. Abid Riaz,17/10/2017,"a)  Rs.2,800,000/-
b)  Rs.1,600,000/-","4,400,000",0.362272727,,"Rs.1,594,000/-",1594000.00,-,,"Amount
deposited, gift retained",,,
93,"One   W/Watch   (Harry Winston) (No.HWTZ01170-400-
MATTZ45R).",Mr.     Haider     Khaqan Abbasi,28/11/2017,"Rs.8,000,000/-","8,000,000",0.19925,,"Rs.1,594,000/-",1594000.00,-,,"Amount
deposited, gift retained",,,
66,"a)  One          W/Watch (Christophe Claret).
b)  Pair of Cufflinks.
c)  One Ring.
d)  One Pen (Aurora).
e)  One Tasbih.","Senator        Muhammad Ishaq     Dar,     Finance Minister of Pakistan",30/08/2017,"a)  Rs.2,500,000/-
b)  Rs.2,200,000/-
c)  Rs.1,100,000/-
d)  Rs.80,000/-
e)  Rs.550,000/-","6,430,000",0.199066874,,"Rs.1,280,000/-",1280000.00,-,,"Amount
deposited, gift retained",,,
14,"One w/watch Rolex Model No.126333 Serial No.6x8133F1 (Oyster        perpetual
Datejust)","Dr. Arif Alvi, President of Pakistan",09/02/2022,"Rs.2,500,000/-","2,500,000",0.494,,"Rs.1,235,00
0/-",1235000.00,,,"Amount
deposited, gift retained",,,
167,One W/Watch (Rolex),"Presented  to  Brig.
Aamer   Amin   MS (P)",20/12/2018,"Rs.2,250,000/-","2,250,000",0.493382667,,"Rs.1,110,111/-",1110111.00,-,,"Amount
deposited, gift retained",,,
64,One  W/Watch  (Franck  Muller (8880 QP 24),"Mr.          Abdullah
Khaqan      Abbasi,
son      of      Prime Minister",17/04/2018,"Rs.5,500,000/-","5,500,000",0.198909091,,"Rs.1,094,000/-",1094000.00,-,,"Amount
deposited, gift retained",,,
80,"a)  One      W/Watch (Harry  Winston) (MIDATG44WW0 01-061589).
b)  Pair of Cufflinks.
c)  One Pen.
d)  One Ring.
e)  One Tasbih",Mr. Qasim Khan,17/10/2017,"a)  Rs.3,000,000/-
b)  Rs.350,000/-
c)  Rs.150,000/-
d)  Rs.400,000/-
e)  Rs.1,500,000/-","5,400,000",0.198888889,,"Rs.1,074,000/-",1074000.00,-,,"Amount
deposited, gift retained",,,
95,"A  box  containing  one W/Watch      (Chopard) (1900242-1929          –
Au750),       Pair       of
Cufflinks, one Pen, one Ring & one Tasbih.","Mr.       Fawad       Hasan Fawad, Secretary to the Prime Minister",28/11/2017,"Rs.5,000,000/-","5,000,000",0.1988,,"Rs.994,000/-",994000.00,-,,"Amount
deposited, gift retained",,,
47,"One  W/Watch  Rolex  Sky Dweller Black Dial Oyster ML-3A    WITH    QRCOD- OH5M2724       M326933-
0002","Mr.    Murad    Ashraf Janjua,     Chief     of Protocol M/o Foreign Affairs",29/01/2019,"Rs.2,000,000/-","2,000,000",0.4925,,"Rs.985,000/-",985000.00,-,,"Amount
deposited, gift retained",,,
159,"One box containing
one      W/Watch      serial No.0687a7072","Mr.    Imran    Khan, Prime    Minister    of
Pakistan",17/10/2019,"Rs.1,900,000/-","1,900,000",0.492105263,,"Rs.935,000/-",935000.00,-,,"Amount
deposited, gift retained",,,
94,One  W/Watch  (Hublot) (910644- 902.ND.1140.RX).,Mr.      Nader      Khaqan Abbasi,28/11/2017,"Rs.4,500,000/-","4,500,000",0.198666667,,"Rs.894,000/-",894000.00,-,,"Amount
deposited, gift retained",,,
163,"One      box      containing jewelry:
a)  One Necklace
b)  Pair of earrings
c)  One   box   containing shield","First   Lady,   wife   of the   Dr.   Arif   Alvi, President of Pakistan",28/10/2019,"a)  Rs.1,190,00
0/-
b)  Rs.290,000/-
c)  Rs.280,000/-",1760000,0.491477273,,"Rs.865,000/-",865000.00,-,,"Amount
deposited, gift retained",,,
81,"a)  One      W/Watch (Rolex) (No.94A66033  – 218206-83216).
b)  Pair of Cufflinks.
c)  One Ring.
d)  One Pen.
e)  One Tasbih.","Mr.       Fawad       Hasan Fawad, Secretary to the Prime Minister.",17/10/2017,"a)  Rs.3,500,000/-
b)  Rs.125,000/-
c)  Rs.85,000/-
d)  Rs.350,000/-
e)  Rs.110,000/-","4,170,000",0.198561151,,"Rs.828,000/-",828000.00,-,,"Amount
deposited, gift retained",,,
43,One  W/Watch  (Rolex) (No. G840532),"Mr.  Muhammad  Nawaz
Sharif,  Prime  Minster  of Pakistan",26/05/2017,"Rs.4,050,000/-","4,050,000",0.199506173,,"Rs.808,000/-",808000.00,-,,"Amount
deposited, gift retained",,,
3,"a)  One W/Watch (Rolex)
b)  Pair of Cufflinks Ball
c)  Table Clock (Rolex)
d)  Ball Pen
e)  One Tasbih","Khan  Hasham  bin Saddique,         the
Ambassador       of Pakistan  in  Saudi
Arabia",04/01/2018,"a)  Rs.3,100,000/-
b)  Rs.75,000/-
c)  Rs.550,000/-
d)  Rs.65,000/-
e)  Rs.260,000/-","4,050,000",0.198518519,,"Rs.804,000/-",804000.00,-,,"Amount
deposited, gift retained",,,
128,One  Wrist  Watch  Rolex M11610LV-0002         (G- 04978U9),"Brig.           Waseem Iftikhar Cheema, MS to the Prime Minister",25/06/2019,"Rs.1,600,000/-","1,600,000",0.490625,,"Rs.785,000/-",785000.00,-,,"Amount
deposited, gift retained",,,
121,"One       W/Watch       (Rolex) (M228206-0036, 43A2G470)","Prime   Minister   of Pakistan,      Imran
Khan",01/10/2018,"Rs.3,800,000/-","3,800,000",0.198421053,,"Rs.754,000/-",754000.00,-,,"Amount
deposited, gift retained",,,
82,"a)  One      W/Watch (Harry  Winston) (HWTO1118- 53103).
b)  Pair of Cufflinks.
c)  One Ring.
d)  One Pen.","Brig.       Akmal       Aziz, Military Secretary to the Prime Minister.",17/10/2017,"a)  Rs.3,200,000/-
b)  Rs.80,000/-
c)  Rs.60,000/-
d)  Rs.150,000/-","3,490,000",0.20974212,,"Rs.732,000/-",732000.00,-,,"Amount
deposited, gift retained",,,
113,"a)  One          W/Watch (Rolex)         (Yacht Master-II- T79189KO,     Swiss
Made).
b)  Glittering Ball Pen.
c)  One Ring.
d)  Pair of Cufflinks.","Vice  Admiral  (R)  Khan Hasham   bin   Saddique, Ambassador  of  Pakistan in Saudi Arabia",20/12/2017,"a)  Rs.2,200,000/-
b)  Rs.100,000/-
c)  Rs.250,000/-","2,460,000",0.290243902,,"Rs.714,000/-",714000.00,-,,"Amount
deposited, gift retained",,,
44,"One       Jewellery box containing: -
a.  One necklace
b.  One bracelet
c.  One  pair  of  ear ring
d.  One ring
e.  One    model    of Hajr-e-Aswad","General                 Parvez Musharraf,   President   of Pakistan",10/03/2004,"a.  Rs.2,916,900/-
b.  Rs.1,409,600/-
c.  Rs.277,080/-
d.  Rs.119,500/-
e.  Rs.17,000/-",4740080,0.14968355,,"Rs.709,512/-",709512.00,-,,"Amount
deposited, gift retained",,,
110,"One      W/Watch      (Hublot) Classic                        Fusion
No.1112326510. OX.1180.OX
(Automatic)","Mr.  Khan  Hasham bin         Saddique, Ambassador       of Pakistan  to  Saudi
Arabia",24/09/2018,"Rs.3,550,000/-","3,550,000",0.198309859,,"Rs.704,000/-",704000.00,-,,"Amount
deposited, gift retained",,,
83,One  W/Watch  (Rolex) (No.620WT817- 218206-83216).,"Mr.  Muhammad  Nabeel Afzaal   Bajwa,   PSO   to the Prime Minister.",17/10/2017,"Rs.3,500,000/-","3,500,000",0.198285714,,"Rs.694,000/-",694000.00,-,,"Amount
deposited, gift retained",,,
84,One  W/Watch  (Rolex) (No.0234U4N2- 218206-83216).,"Wg.Cdr.              Qamar Mohyudin   Chishti,  ADC to the Prime Minister.",17/10/2017,"Rs.3,500,000/-","3,500,000",0.198285714,,"Rs.694,000/-",694000.00,-,,"Amount
deposited, gift retained",,,
111,"a)  Two box of Dates
b)  One W/Watch
c)  One Ball Pen
d)  One Ring
e)  One Tasbih
f)  Pair of Cufflinks","Chaudhry     Fawad Hussain,    Minister for Information",25/09/2018,"a)  Rs.6,000/-
b)  Rs.2,000,000/-
c)  Rs.1,050,000/-
d)  Rs.85,000/-
e)  Rs.200,000/-
f)  Rs.120,000/-","3,461,000",0.198266397,,"Rs.686,200/-",686200.00,-,,"Amount
deposited, gift retained",,,
142,One Rolex W/Watch,"Dr.    Abdul    Hafeez Sheikh,   Adviser   to the PM on Finance &
Revenue",08/08/2019,"Rs.1,400,000/-","1,400,000",0.489285714,,"Rs.685,000/-",685000.00,-,,"Amount
deposited, gift retained",,,
66,"(a)One Quran Majeed.
(b)One Sword (Golden).
(c)One Tasbih.
(d)One Pen (Gold)
(e)One     Table     Clock (Metthew Norman)
(f)Oud (Wooden).
(g)One w/watch (Bovet)
(h)Pair of cufflinks.
(i)One pen.
(j)One ring.","Mr.  Muhammad  Nawaz Sharif,   Prime   Minister of Pakistan",22/03/2016,"(a)NCV (b)Rs.394,000/-
(c)Rs.75,360/-
(d)Rs.24,000/-
(e)Rs.85,000/-
(f)Rs.209,000/-
(g)Rs.1,950,000/-
(h)Rs.394,300/-
(i)Rs.19,000/-
(j)Rs.214,800/-
Total :- Rs.3,365,460/-","2,737,360",0.2451603,,"Rs.671,092/-",671092.00,-,,"Amount
deposited, gift retained",,,
97,"A  box  containing  one W/Watch      (Chopard) (1481459-1912),
Pair  of  Cufflinks,  one
Pen,  one  Ring  &  one Tasbih.","Mr.   M.   Nabeel   Afzaal Bajwa, PSO to the Prime Minister",28/11/2017,"Rs.3,250,000/-","3,250,000",0.198153846,,"Rs.644,000/-",644000.00,-,,"Amount
deposited, gift retained",,,
34,Mercedes Benz Car,"Mr.    Muhammad    Nawaz Sharif,  Prime  Minister  of
Pakistan",20/04/2008,"Rs.4,255,919/-","4,255,919",0.149647585,,"Rs.636,888/-",636888.00,-,,"Amount
deposited, gift retained",,,
79,One   wrist   watch   Rolex (12488OE5-model- 126333),"Brig            Waseem
Iftikhar       Cheema,
Military  secretary  to the Prime Minister",20/03/2019,"Rs.1,300,000/-","1,300,000",0.488461538,,"Rs.635,000/-",635000.00,-,,"Amount
deposited, gift retained",,,
135,"One  Lady’s  wrist  watch
Patek Philipe-Geneve
Art 4910/A=001 M/B:702456016159720","Shah         Mehmood
Hussain       Qureshi,
Foreign   Minister   of Pakistan",04/07/2019,"Rs.1,200,000/-","1,200,000",0.4875,,"Rs.585,000/-",585000.00,-,,"Amount
deposited, gift retained",,,
109,One       W/Watch       (Rolex) (No.3R522723),"SP   Rana   Shoaib Mehmood,  CSO  to
Prime Minister",24/09/2018,"Rs.2,900,000/-","2,900,000",0.197931034,,"Rs.574,000/-",574000.00,-,,"Amount
deposited, gift retained",,,
112,One  W/Watch  (Rolex  Yacht Master – 49N96500),"Mr.  Murad  Ashraf Janjua,    Chief    of
State Protocol",25/09/2018,"Rs.2,900,000/-","2,900,000",0.197931034,,"Rs.574,000/-",574000.00,-,,"Amount
deposited, gift retained",,,
369,"(a)   One   Jewelry   set (in Gold, with Precious stones) containing: -
i. One Neckalce
ii. One Bracelet
iii. One Pair of Tops
iv. One Finger Ring
(b)  Replica  of  Bab  e Kaaba (For Info)","Mr. Shaukat Aziz, Prime Minister of Pakistan",20/12/2006,"(a)
i. Rs.2,183,700/-
i. Rs.1,097,005/-
iii. Rs.340,425/-
v. Rs.143,425/-
Total: - Rs.3,764,555/-",3764555,0.149601746,,"Rs.563,184/-",563184.00,-,,"Amount
deposited, gift retained",,,
107,"a)  One W/Watch (Chopard)
b)  Pair of Cufflinks (Chopard)
c)  One Ball Pen (Chopard)
d)  One Ring
e)  One Tasbih","Brig.         Waseem Iftikhar    Cheema, MS      to      Prime Minister",24/09/2018,"a)  Rs.2,200,000/-
b)  Rs.170,000/-
c)  Rs.140,000/-
d)  Rs.200,000/-
e)  Rs.135,000/-",2845000,0.197891037,,"Rs.563,000/-",563000.00,-,,"Amount
deposited, gift retained",,,
319,"One  Jewellary  Set  in 18Kt Gold diamond
& Blue Saphire i.e.
a.  One Necklace
b.  One Bracelet
c.  Pair of Ear Rings
d.  One Ring","First Lady of Pakistan, wife of       President       Pervaiz Musharraf",01/08/2007,"a.  Rs.2,440,000/-
b.  Rs.819,500/-
c.  Rs.356,500/-
d.  Rs.127,500/-","3,743,500",0.149599305,,"Rs.560,025/-",560025.00,-,,"Amount
deposited, gift retained",,,
75,One  W/Watch  (Girard- Perregaux)  (No.99105- 41-232-BB6A).,"Sahebzada          Ahmed Khan,             Additional Secretary    /    Chief    of
State Protocol",17/10/2017,"Rs.2,800,000/-","2,800,000",,,"Rs.554,000/-",554000.00,-,,"Amount
deposited, gift retained",,,
44,"(a) One sword.
(b)   One   Piece   of Oud Wood.
(c)   One   piece   of Ghalaf Kaba
(d)     One     Burner (Golden).
(e)   One   Model   of Makkah Tower.
(f)       One       Box containing:-
(i) One Necklace.
(ii) One Ring.
(iii) One Bracelet.
(iv)  One  Pair  of  ear Ring","Mr.  Mamnoon  Hussain, President of Pakistan",24/10/2013,"(a)Rs.1,315,000/-
(b) Rs.105,000/-
(c) NCV
(d) Rs.650,000/-
(e) Rs.65,000/-
(f)
(i)   Rs.320,000/-
(ii)  Rs.60,000/-
(iii) Rs.95,000/-
(iv) Rs.101,000/-","1,315,000",,,"Rs.540,200/-",540200.00,-,,"Amount
deposited, gift retained",,,
166,One W/Watch (Rolex),"Presented  to  Maj. Gen.  Khurshid  M.
Uttra, PP(P)",20/12/2018,"Rs.1,050,000/-","1,050,000",,,"Rs.510,000/-",510000.00,-,,"Amount
deposited, gift retained",,,
168,One W/Watch (Rolex),"Presented  to  Maj. Khalid         Habib,
CSO(P)",20/12/2018,"Rs.1,050,000/-","1,050,000",,,"Rs.510,000/-",510000.00,-,,"Amount
deposited, gift retained",,,
129,One  Ladies  Wrist  Watch Rolex     (M279173-0019) (1A1011K0),Wife       of       Brig. Waseem       Iftikhar Cheema,25/06/2019,"Rs.1,044,292/-","1,044,292",,,"Rs.507,146/-",507146.00,-,,"Amount
deposited, gift retained",,,
2,"a)  One W/Watch (Bvlgari)
b)  Pair of Cufflinks
c)  One Pen
d)  One Ring
e)  One Tasbih","Sahebzada  Ahmed Khan,     Additional Secretary   /   Chief of State Protocol",04/01/2018,"a)  Rs.1,850,000/-
b)  Rs.145,000/-
c)  Rs.250,000/-
d)  Rs.106,750/-
e)  Rs.131,000/-","1,850,000",,,"Rs.490,550/-",490550.00,-,,"Amount
deposited, gift retained",,,
22,One w/watch (Rolex),"Zeeshan       Ahmed,
Charge d’ Affairs",14/01/2019,"Rs.1,010,000/-","1,010,000",,,"Rs.490,000/-",490000.00,-,,"Amount
deposited, gift retained",,,
169,One W/Watch (Rolex),"Presented   to   Mr. Shehryar      Akbar
Khan,          Consul General, Jeddah",24/12/2018,"Rs.1,010,000/-","1,010,000",,,"Rs.490,000/-",490000.00,-,,"Amount
deposited, gift retained",,,
170,One W/Watch (Rolex),"Presented   to   Mr. Ammar         Amin, Deputy    Chief    of
Protocol,          M/o Foreign Affairs",24/12/2018,"Rs.1,010,000/-","1,010,000",,,"Rs.490,000/-",490000.00,-,,"Amount
deposited, gift retained",,,
132,"(a)One            W/Watch (Rolex) Ladies.
(b)One            W/Watch (Rolex) Gents.
(c)Six        bottle        of Perfume.
(d)Wood   of   agarwood (Oud Wood.)","Mr.  Muhammad  Nawaz Sharif,   Prime   Minister of Pakistan",28/10/2016,"(a)Rs.1,200,000/-
(b)Rs.850,000/-
(c)Rs.270,000/-
(d)Rs.35,000/-
Total :- Rs.2,355,000","1,200,000",,,"Rs.469,000/-",469000.00,-,,"Amount
deposited, gift retained",,,
96,"(a)  One  Wrist  Watch (Harry         Winston,
L/Strap        Diamond dial)        (HW01116) (OCEMTJ45)
(b)One   pen   (Harry Winston              with Diamond)
(c)Pair    of    Cufflink (Gold + Black Stone) (d)One  Tasbih  (Gold
+ Black Stone)","Mr.             Mamnoon Hussain,  President  of Pakistan",26/06/2015,"(a)Rs. 1875000/-
(b)Rs. 150000/-
(c) Rs. 59576/-
(d)Rs. 163832/-",1875000,,,"Rs.447,682/-",447682.00,-,,"Amount
deposited, gift retained",,,
17,One  w/watch  Rolex Oyster      Perpetual Datejust  Model  no. Oyster M 216570/7,"Mr. Moazzam Ahmad Khan,            Special Secretary          while serving                 as
Ambassador           of Pakistan to UAE",11/02/2020,"Rs.900,000/-","900,000",,,"Rs.435,000/-",435000.00,-,,"Amount
deposited, gift retained",,,
4,One     W/Watch     Vacheron Constantin    No.81180/000J- 9118,"Shehryar      Akbar
Khan,          Consul General",08/01/2018,"Rs.2,050,000","2,050,000",,,"Rs.404,000/-",404000.00,-,,"Amount
deposited, gift retained",,,
23,"One  w/watch  Rolex (Oyster                S,
SAP39137) (M114300-0003)",SAPM  Syed  Zulfiqar Abbas Bukhari,03/03/2020,"Rs.830,000/-","830,000",,,"Rs.400,000/-",400000.00,-,,"Amount
deposited, gift retained",,,
25,"One w/watch Rolex Model                no.
(M114300-0003) S.No. 78sP7819","Mr.   Nadeem   Babar, SAPM on petroleum",04/03/2020,"Rs.830,000/-","830,000",,,"Rs.400,000/-",400000.00,-,,"Amount
deposited, gift retained",,,
67,One      W/Watch      (Hublot) (401.NJ.0123.VR),"Brig.         Waseem Iftikhar    Cheema, MS  to  the  Prime
Minister",17/04/2018,"Rs.2,000,000/-","2,000,000",,,"Rs.394,000/-",394000.00,-,,"Amount
deposited, gift retained",,,
71,One W/Watch (Hublot),"Khan  Hasham  bin Saddique, Ambassador       of Pakistan  to  Saudi
Arabia",26/04/2018,"Rs.2,000,000/-","2,000,000",,,"Rs.394,000/-",394000.00,-,,"Amount
deposited, gift retained",,,
123,One W/Watch (Rolex),"Mr.          Shehryar Akbar           Khan, Consul  General  of Pakistan  in  Saudi
Arabia",02/10/2018,"Rs.2,000,000/-","2,000,000",,,"Rs.394,000/-",394000.00,-,,"Amount
deposited, gift retained",,,
85,One  W/Watch  (Rolex) (No.10W47451- M116680-0001).,"SP        Rana        Shoaib
Mehmood,             Chief Security  Officer  to  the Prime Minister.",17/10/2017,"Rs.1,950,000/-","1,950,000",,,"Rs.384,000/-",384000.00,-,,"Amount
deposited, gift retained",,,
66,One  W/Watch  (Franck  Muller Geneve) (V 45 CC DT),"Mr.  Fawad  Hasan Fawad,    Secretary to      the      Prime
Minister",17/04/2018,"Rs.1,900,000/-","1,900,000",,,"Rs.374,000/-",374000.00,-,,"Amount
deposited, gift retained",,,
5,One W/Watch (Rolex),"Khawaja Muhammad     Asif,
Foreign Minister",15/01/2018,"Rs.1,800,000/-","1,800,000",,,"Rs.354,000/-",354000.00,-,,"Amount
deposited, gift retained",,,
147,"a)  One    W/Watch    (Rolex) No.M116710LN-0001)
Gent’s
b)  One    W/Watch    (Rolex) No.SYS/C9M074865865A5
P5) Ladies
c)  One I-Phone
d)  Two Gents Suits
e)  One                    Perfume,
DOLCE&GABBA
f)  One  Perfume  Bvlgari  LE Gemme (Ashlemah)
g)  One  Perfume  Bvlgari  LE Gemme (Onekh)
h)  One Perfume Ruby (Bound No.9)
i)   One     Violet     Samsonite (Gents)
j)  One Violet Aigner (Ladies)
k)  One Ball Pen (Mont Blanc)","Mr.   Imran   Khan, Prime   Minister   of Pakistan",13/11/2018,"a)  Rs.900,000/-
b)  Rs.400,000/-
c)  Rs.210,000/-
d)  Rs.30,000/-
e)  Rs.35,000/-
f)  Rs.30,000/-
g)  Rs.26,000/-
h)  Rs.40,000/-
i)   Rs.6,000/-
j)  Rs.18,000/-
k)  Rs.28,000/-","900,000",,,"Rs.338,600/-",338600.00,-,,"Amount
deposited, gift retained",,,
136,"One     Jewelry     set containing  Necklace,
Bracelet,  Ring  &  one Pair of Ear Rings","Wife      of      Prime
Minister,        Yousaf Raza Gillani",23/12/2009,"Rs.2,183,620/-","2,183,620",,,"Rs. 326,043/-",326043.00,-,,"Amount
deposited, gift retained",,,
